id,name,symbol,slug,date_added,price
3721,Huobi Pool Token,HPT,huobi-pool-token,2019-02-01T00:00:00.000Z,0.00604979737209
1757,FunFair,FUN,funfair,2017-06-27T00:00:00.000Z,0.00459383157983
2748,Loki,LOKI,loki,2018-05-21T00:00:00.000Z,0.596023320736
3845,V-ID,VIDT,v-id,2019-04-05T00:00:00.000Z,0.623607725117
5161,WazirX,WRX,wazirx,2020-02-06T00:00:00.000Z,0.124760328712
3709,Grin,GRIN,grin,2019-01-27T00:00:00.000Z,0.578818751847
2620,Switcheo,SWTH,switcheo,2018-03-31T00:00:00.000Z,0.0382176092139
1169,PIVX,PIVX,pivx,2016-02-13T00:00:00.000Z,0.493412718923
4293,Perlin,PERL,perlin,2019-08-26T00:00:00.000Z,0.0789835993347
2900,Project Pai,PAI,project-pai,2018-07-05T00:00:00.000Z,0.0187908920056
4090,Wirex Token,WXT,wirex-token,2019-07-09T00:00:00.000Z,0.0101645922323
2424,SingularityNET,AGI,singularitynet,2018-01-18T00:00:00.000Z,0.0333234310312
1886,Dent,DENT,dent,2017-08-12T00:00:00.000Z,0.000328019124424
3801,BORA,BORA,bora,2019-03-18T00:00:00.000Z,0.0400023356231
2505,Bluzelle,BLZ,bluzelle,2018-02-06T00:00:00.000Z,0.113397036633
5015,HEX,HEX,hex,2019-12-17T00:00:00.000Z,0.00385469380046
3085,INO COIN,INO,ino-coin,2018-08-06T00:00:00.000Z,2.58950200097
5482,Counos X,CCXX,counos-x,2020-04-20T00:00:00.000Z,20.4293073661
3116,Insight Chain,INB,insight-chain,2018-08-08T00:00:00.000Z,0.989824716249
5815,BitcoinPoS,BPS,bitcoinpos,2020-07-07T00:00:00.000Z,88.8670752864
5524,TNC Coin,TNC,tnc-coin,2020-05-03T00:00:00.000Z,0.111038658346
3607,VestChain,VEST,vestchain,2018-11-15T00:00:00.000Z,0.0288339632775
5567,Celo,CELO,celo,2020-05-22T00:00:00.000Z,2.01270602124
3296,MINDOL,MIN,mindol,2019-03-29T00:00:00.000Z,1.29493865708
3144,ThoreCoin,THR,thorecoin,2018-08-10T00:00:00.000Z,2272.3294148
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,2019-01-30T00:00:00.000Z,11744.2728992
5614,Zelwin,ZLW,zelwin,2020-05-21T00:00:00.000Z,3.88624202767
5070,Tap,XTP,tap,2019-12-24T00:00:00.000Z,0.0548969271361
5329,Largo Coin,LRG,largo-coin,2020-03-17T00:00:00.000Z,9.82188583858
3873,botXcoin,BOTX,botxcoin,2019-04-18T00:00:00.000Z,0.0977612464109
911,Advanced Internet Blocks,AIB,advanced-internet-blocks,2015-04-30T00:00:00.000Z,0.00555633820048
5279,Sologenic,SOLO,sologenic,2020-03-06T00:00:00.000Z,0.664132971355
5864,yearn.finance,YFI,yearn-finance,2020-07-18T00:00:00.000Z,4350.01942036
3653,Baer Chain,BRC,baer-chain,2018-12-28T00:00:00.000Z,0.746070622179
5600,Attila,ATT,attila,2020-05-18T00:00:00.000Z,0.283010699642
5560,Idea Chain Coin,ICH,idea-chain-coin,2020-05-11T00:00:00.000Z,3.00736736032
5031,MimbleWimbleCoin,MWC,mimblewimblecoin,2020-02-24T00:00:00.000Z,11.9000919955
5336,Homeros,HMR,homeros,2020-03-18T00:00:00.000Z,0.485630550044
5796,BeautyPayCoin,BPC,beautypaycoin,2020-07-01T00:00:00.000Z,0.496225593062
2027,Cryptonex,CNX,cryptonex,2017-10-07T00:00:00.000Z,1.79808621081
4257,Bitball Treasure,BTRS,bitball-treasure,2019-11-04T00:00:00.000Z,216.387958024
